3,1,4,1,1,4,1,1,2,1,7,1,5,1,1,1,1,1,1,1,2,1,1,1,6,
1,1,1,1,3,1,1,1,6,1,1,1,1,1,2,1,7,5,6,1,3,1,1,2,1,
1,3,2,1,7,3,1,4,5,7,1,1,1,1,7,1,1,3,1,4,3,3,1,6,1,
4,1,1,1,2,1,1,1,1,2,1,1,3,1,7,1,1,1,1,6,2,1,3,1,1,
4,1,1,7,1,6,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,
1,1,1,2,1,1,2,1,4,3,6,1,1,1,3,1,1,3,1,1,5,1,2,1,1,
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,
7,1,1,6,3,1,1,3,7,1,6,1,2,1,1,7,1,1,1,2,1,3,3,1,7,
1,1,1,7,1,3,3,1,1,1,1,2,1,1,1,1,1,4,3,3,3,1,1,1,1,
1,1,6,2,1,3,1,1,3,1,2,1,1,1,1,3,3,3,1,1,1,2,6,4,1,
1,1,2,1,1,7,1,1,1,1,1,1,3,1,1,3,1,1,4,1,1,6,4,1,1,
1,1,1,6,1,1,2,1,6,1,1,1,1,7,1,1,3,1,2,1,2,1,1,1,1,
1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,1,1,7,1,1,2,1,2,2,1,
5,6,1,1,2,1,7,2,1,1,5,1,1,1,1,1,4,1,1,7,1,1,2,7,1,
1,1,1,3,2,1,1,1,6,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,
